Year,113 Cause Name,Cause Name,State,Deaths
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,United States,169936
2017,All Causes,All causes,United States,2813503
2017,Alzheimer's disease (G30),Alzheimer's disease,United States,121404
2017,Cerebrovascular diseases (I60-I69),Stroke,United States,146383
2017,Chronic lower respiratory diseases (J40-J47),CLRD,United States,160201
2017,Diabetes mellitus (E10-E14),Diabetes,United States,83564
2017,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,United States,647457
2017,Influenza and pneumonia (J09-J18),Influenza and pneumonia,United States,55672
2017,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,United States,47173
2017,Malignant neoplasms (C00-C97),Cancer,United States,599108
2017,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,United States,50633
2016,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,United States,161374
2016,All Causes,All causes,United States,2744248
2016,Alzheimer's disease (G30),Alzheimer's disease,United States,116103
2016,Cerebrovascular diseases (I60-I69),Stroke,United States,142142
2016,Chronic lower respiratory diseases (J40-J47),CLRD,United States,154596
2016,Diabetes mellitus (E10-E14),Diabetes,United States,80058
2016,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,United States,635260
2016,Influenza and pneumonia (J09-J18),Influenza and pneumonia,United States,51537
2016,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,United States,44965
2016,Malignant neoplasms (C00-C97),Cancer,United States,598038
2016,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,United States,50046
2015,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,United States,146571
2015,All Causes,All causes,United States,2712630
2015,Alzheimer's disease (G30),Alzheimer's disease,United States,110561
2015,Cerebrovascular diseases (I60-I69),Stroke,United States,140323
2015,Chronic lower respiratory diseases (J40-J47),CLRD,United States,155041
2015,Diabetes mellitus (E10-E14),Diabetes,United States,79535
2015,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,United States,633842
2015,Influenza and pneumonia (J09-J18),Influenza and pneumonia,United States,57062
2015,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,United States,44193
2015,Malignant neoplasms (C00-C97),Cancer,United States,595930
2015,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,United States,49959
